iter	Passed	Remaining
455	904	1078
456	905	1075
457	906	1073
458	908	1070
459	910	1068
460	912	1066
461	915	1066
462	919	1066
463	922	1065
464	927	1067
465	929	1065
466	931	1063
467	933	1061
468	934	1058
469	935	1055
470	940	1056
471	942	1054
472	944	1052
473	947	1050
474	949	1049
475	951	1047
476	954	1046
477	956	1044
478	961	1046
479	963	1044
480	967	1044
481	970	1042
482	972	1040
483	974	1038
484	976	1036
485	977	1034
486	980	1033
487	983	1031
488	986	1030
489	988	1028
490	989	1026
491	992	1024
492	994	1022
493	996	1021
494	999	1019
495	1001	1017
496	1003	1015
497	1005	1013
498	1007	1011
499	1010	1010
500	1012	1008
501	1014	1006
502	1015	1003
503	1017	1001
504	1018	998
505	1020	996
506	1022	994
507	1023	991
508	1024	988
509	1026	985
510	1027	982
511	1030	981
512	1033	980
513	1034	978
514	1036	976
515	1038	973
516	1039	971
517	1040	968
518	1043	967
519	1045	965
520	1047	963
521	1048	960
522	1050	957
523	1051	955
524	1052	952
525	1054	950
526	1057	949
527	1059	947
528	1061	945
529	1062	942
530	1064	940
531	1066	938
532	1068	936
533	1069	933
534	1070	930
535	1071	927
536	1072	924
537	1073	921
538	1074	918
539	1075	916
540	1076	913
541	1077	910
542	1078	907
543	1078	904
544	1079	901
545	1080	898
546	1080	895
547	1081	892
548	1082	889
549	1083	886
550	1084	883
551	1085	880
552	1086	878
553	1088	876
554	1090	874
555	1091	871
556	1093	869
557	1094	866
558	1095	864
559	1096	861
560	1097	859
561	1098	856
562	1099	853
563	1100	850
564	1101	847
565	1102	845
566	1103	842
567	1103	839
568	1104	836
569	1105	834
570	1106	831
571	1107	828
572	1108	826
573	1109	823
574	1110	820
575	1111	818
576	1112	815
577	1112	812
578	1113	809
579	1114	807
580	1115	804
581	1116	801
582	1119	800
583	1121	798
584	1122	795
585	1122	793
586	1123	790
587	1124	788
588	1125	785
589	1126	782
590	1127	780
591	1128	777
592	1129	774
593	1129	772
594	1130	769
595	1131	767
596	1132	764
597	1133	762
598	1134	759
599	1135	756
600	1136	754
601	1136	751
602	1137	749
603	1138	746
604	1139	743
605	1139	741
606	1140	738
607	1141	736
608	1143	733
609	1144	731
610	1146	729
611	1147	727
612	1149	725
613	1150	723
614	1152	721
615	1154	719
616	1156	717
617	1158	716
618	1160	714
619	1162	712
620	1164	710
621	1165	708
622	1168	706
623	1169	704
624	1171	702
625	1172	700
626	1173	698
627	1175	696
628	1177	694
629	1179	692
630	1181	691
631	1183	689
632	1185	687
633	1186	685
634	1188	683
635	1191	681
636	1193	679
637	1194	678
638	1197	676
639	1198	674
640	1200	672
641	1202	670
642	1204	668
643	1205	666
644	1207	664
645	1208	662
646	1210	660
647	1212	658
648	1214	656
649	1215	654
650	1217	652
651	1218	650
652	1220	648
653	1221	646
654	1223	644
655	1225	642
656	1227	640
657	1228	638
658	1230	636
659	1232	635
660	1234	633
661	1237	631
662	1239	629
663	1241	627
664	1251	630
665	1253	628
666	1254	626
667	1255	624
668	1261	623
669	1262	621
670	1264	619
671	1267	618
672	1269	616
673	1270	614
674	1272	612
675	1274	610
676	1276	608
677	1277	606
678	1278	604
679	1280	602
680	1281	600
681	1282	598
682	1284	595
683	1285	593
684	1287	591
685	1288	589
686	1289	587
687	1290	585
688	1291	582
689	1292	580
690	1293	578
691	1294	576
692	1295	573
693	1296	571
694	1297	569
695	1298	567
696	1299	564
697	1300	562
698	1301	560
699	1301	557
700	1302	555
701	1303	553
702	1304	550
703	1305	548
704	1310	548
705	1313	546
706	1314	544
707	1315	542
708	1316	540
709	1317	538
710	1318	536
711	1320	533
712	1321	531
713	1322	529
714	1324	527
715	1326	526
716	1328	524
717	1329	522
718	1330	519
719	1331	517
720	1332	515
721	1333	513
722	1334	511
723	1334	508
724	1335	506
725	1336	504
726	1337	502
727	1338	500
728	1339	497
729	1340	495
730	1341	493
731	1341	491
732	1342	489
733	1343	486
734	1344	484
735	1346	482
736	1347	480
737	1348	478
738	1349	476
739	1352	475
